complexity,loss,score,equation,sympy_format,lambda_format,simulation,parsimony,populations
3,2.1373508,0.022859502824954286,-0.031774774 * DST,-0.031774774*DST,PySRFunction(X=>-0.031774774*DST),55,0.768064670115872,65
3,2.137351,0.011429704625587853,-0.03111101 * DST,-0.03111101*DST,PySRFunction(X=>-0.03111101*DST),52,0.25996081529512616,107
3,2.137353,0.01142923675693541,-0.031843107 * DST,-0.031843107*DST,PySRFunction(X=>-0.031843107*DST),61,0.40447590241390935,71
3,2.1373565,0.011428417987847068,-0.03193707 * DST,-0.03193707*DST,PySRFunction(X=>-0.03193707*DST),42,0.5836751940682362,42
3,2.137357,0.011428301020943929,-0.03105136 * DST,-0.03105136*DST,PySRFunction(X=>-0.03105136*DST),41,0.8807763974696912,77
3,2.1373742,0.011424277376135555,-0.030884355 * DST,-0.030884355*DST,PySRFunction(X=>-0.030884355*DST),53,0.6760878750215195,102
3,2.137393,0.011419879475824173,-0.03071517 * DST,-0.03071517*DST,PySRFunction(X=>-0.03071517*DST),15,0.5490287081615713,36
3,2.1374,0.01141824196963381,-0.03254043 * DST,-0.03254043*DST,PySRFunction(X=>-0.03254043*DST),29,0.35456852814572365,26
3,2.1374383,0.011409282566420601,-0.03036129 * DST,-0.03036129*DST,PySRFunction(X=>-0.03036129*DST),5,0.5638130072532167,28
3,2.1374464,0.011407387778474628,-0.03030208 * DST,-0.03030208*DST,PySRFunction(X=>-0.03030208*DST),10,0.310354575469587,51
3,2.1374514,0.01140621815986996,-0.030272264 * DST,-0.030272264*DST,PySRFunction(X=>-0.030272264*DST),50,0.665318072340186,97
3,2.1374803,0.011399457817944362,-0.033244733 * DST,-0.033244733*DST,PySRFunction(X=>-0.033244733*DST),12,0.25382894700547437,112
3,2.1374886,0.011397516283352067,-0.033315063 * DST,-0.033315063*DST,PySRFunction(X=>-0.033315063*DST),51,0.7278578853860362,54
3,2.1374903,0.011397118620570669,-0.030050246 * DST,-0.030050246*DST,PySRFunction(X=>-0.030050246*DST),26,0.5964623166512845,61
3,2.1375194,0.011390311618471833,-0.0334506 * DST,-0.0334506*DST,PySRFunction(X=>-0.0334506*DST),7,0.6588018732240777,27
3,2.1375284,0.01138820637885326,DST * -0.029847426,DST*(-0.029847426),PySRFunction(X=>DST*(-0.029847426)),25,0.8480394428115559,43
3,2.1375287,0.011388136204351957,-0.029845487 * DST,-0.029845487*DST,PySRFunction(X=>-0.029845487*DST),33,0.6719795250240269,102
3,2.1376042,0.01137047593465414,-0.029459951 * DST,-0.029459951*DST,PySRFunction(X=>-0.029459951*DST),20,0.3680268719293325,49
3,2.1376138,0.011368230435126416,-0.029411837 * DST,-0.029411837*DST,PySRFunction(X=>-0.029411837*DST),27,0.09536836628947483,33
3,2.137666,0.011356020707940284,-0.034036733 * DST,-0.034036733*DST,PySRFunction(X=>-0.034036733*DST),34,0.490442314835111,99
3,2.1376808,0.01135255900045956,DST * -0.0340928,DST*(-0.0340928),PySRFunction(X=>DST*(-0.0340928)),18,0.6244011255320361,44
5,2.1377,0.0024936543892156472,(0.32410312 * DST) * -0.10540191,0.32410312*DST*(-0.10540191),PySRFunction(X=>0.32410312*DST*(-0.10540191)),14,0.1743114391019238,27
3,2.1377146,0.011344653298918924,-0.029087206 * DST,-0.029087206*DST,PySRFunction(X=>-0.029087206*DST),21,0.3665947655023927,54
3,2.13785,0.011312984966730654,-0.028667144 * DST,-0.028667144*DST,PySRFunction(X=>-0.028667144*DST),37,0.006841712432051106,50
3,2.1380074,0.011276173636195845,-0.028225107 * DST,-0.028225107*DST,PySRFunction(X=>-0.028225107*DST),4,0.4634548764716549,94
3,2.1381683,0.011238546557384292,-0.035549425 * DST,-0.035549425*DST,PySRFunction(X=>-0.035549425*DST),16,0.32610585944443393,64
3,2.138173,0.01123744748701767,-0.03556225 * DST,-0.03556225*DST,PySRFunction(X=>-0.03556225*DST),24,0.6660928181451421,71
3,2.1382165,0.022454550709322674,-0.035679054 * DST,-0.035679054*DST,PySRFunction(X=>-0.035679054*DST),17,0.31849081573943316,33
3,2.1382172,0.011227111666866938,-0.035681427 * DST,-0.035681427*DST,PySRFunction(X=>-0.035681427*DST),11,0.7120266256859719,89
3,2.1385853,0.01114104269339699,-0.026950313 * DST,-0.026950313*DST,PySRFunction(X=>-0.026950313*DST),56,0.23541169704116155,88
3,2.1407876,0.010626411170067256,DST * -0.023782276,DST*(-0.023782276),PySRFunction(X=>DST*(-0.023782276)),23,0.5211780183689029,51
5,2.1420126,0.0016895924210572975,"max(Ey, -0.5802203) / -1.2335367","Piecewise((-0.5802203, Ey < -0.5802203), (Ey, True))/(-1.2335367)","PySRFunction(X=>Piecewise((-0.5802203, Ey < -0.5802203), (Ey, True))/(-1.2335367))",65,0.28731951273253653,23
3,2.1421213,0.010315010653677577,-0.04084561 * DST,-0.04084561*DST,PySRFunction(X=>-0.04084561*DST),35,0.8783410106375455,90
3,2.14519,0.009599247251087871,-0.043437485 * DST,-0.043437485*DST,PySRFunction(X=>-0.043437485*DST),58,0.46474805073223563,27
3,2.1458557,0.009444110239766743,-0.019292327 * DST,-0.019292327*DST,PySRFunction(X=>-0.019292327*DST),22,0.1468951084641263,75
3,2.148192,0.0178000629210919,Ey * -0.47814524,Ey*(-0.47814524),PySRFunction(X=>Ey*(-0.47814524)),54,0.321113011224157,62
3,2.148388,0.0177088275663975,-0.53416073 * Ey,-0.53416073*Ey,PySRFunction(X=>-0.53416073*Ey),14,0.1743114391019238,27
3,2.1492631,0.017301581844614958,-0.4178003 * Ey,-0.4178003*Ey,PySRFunction(X=>-0.4178003*Ey),65,0.28731951273253653,23
3,2.1526394,0.01573190392037782,-0.6530139 * Ey,-0.6530139*Ey,PySRFunction(X=>-0.6530139*Ey),63,0.3220017178521859,88
1,2.1867723,0.0,-3.6133952e-6,-3.61339520000000e-6,PySRFunction(X=>-0.00000361339520000000),45,0.23506757861056546,47
1,2.1867723,0.0,2.477318e-7,2.47731800000000e-7,PySRFunction(X=>2.47731800000000E-7),6,0.36422786358089443,37
1,2.1867723,0.0,-1.8606207e-7,-1.86062070000000e-7,PySRFunction(X=>-1.86062070000000E-7),29,0.35456852814572365,26
2,2.1867723,1.3718848521202594e-07,square(-8.633311e-5),7.45340588227210e-9,PySRFunction(X=>7.45340588227210E-9),55,0.768064670115872,65
1,2.1867723,0.0,2.4055123e-6,2.40551230000000e-6,PySRFunction(X=>0.00000240551230000000),39,0.8660561473765993,89
1,2.1867723,0.0,-1.2369765e-6,-1.23697650000000e-6,PySRFunction(X=>-0.00000123697650000000),10,0.310354575469587,51
1,2.1867723,0.0,-8.63336e-7,-8.63336000000000e-7,PySRFunction(X=>-8.63336000000000E-7),52,0.25996081529512616,107
1,2.1867723,0.0,-1.2695143e-6,-1.26951430000000e-6,PySRFunction(X=>-0.00000126951430000000),18,0.6244011255320361,44
2,2.1867723,0.0,square(2.8014183e-5),7.84794449157489e-10,PySRFunction(X=>7.84794449157489E-10),17,0.31849081573943316,33
1,2.1867723,0.0,6.9865055e-6,6.98650550000000e-6,PySRFunction(X=>0.00000698650550000000),24,0.6660928181451421,71
1,2.1867723,0.0,1.919766e-7,1.91976600000000e-7,PySRFunction(X=>1.91976600000000E-7),4,0.4634548764716549,94
2,2.1867723,2.890062524784811e-05,square(0.001204113),1.44988811676900e-6,PySRFunction(X=>0.00000144988811676900),14,0.1743114391019238,27
1,2.1867723,0.0,-7.005066e-7,-7.00506600000000e-7,PySRFunction(X=>-7.00506600000000E-7),21,0.3665947655023927,54
1,2.1867723,0.0,5.336192e-7,5.33619200000000e-7,PySRFunction(X=>5.33619200000000E-7),48,0.14557438936091158,58
1,2.1867723,0.0,-5.0109213e-7,-5.01092130000000e-7,PySRFunction(X=>-5.01092130000000E-7),22,0.1468951084641263,75
1,2.1867723,0.0,-5.5922227e-9,-5.59222270000000e-9,PySRFunction(X=>-5.59222270000000E-9),20,0.3680268719293325,49
1,2.1867723,0.0,2.897647e-6,2.89764700000000e-6,PySRFunction(X=>0.00000289764700000000),13,0.3285671800313252,37
1,2.1867723,0.0,-1.9470062e-6,-1.94700620000000e-6,PySRFunction(X=>-0.00000194700620000000),59,0.5711549182562068,96
1,2.1867723,0.0,-8.080224e-7,-8.08022400000000e-7,PySRFunction(X=>-8.08022400000000E-7),57,0.7222663220937496,87
1,2.1867723,0.0,-1.9092113e-7,-1.90921130000000e-7,PySRFunction(X=>-1.90921130000000E-7),8,0.5017644720648251,76
1,2.1867723,0.0,-7.1442173e-7,-7.14421730000000e-7,PySRFunction(X=>-7.14421730000000E-7),7,0.6588018732240777,27
1,2.1867723,0.0,4.585131e-7,4.58513100000000e-7,PySRFunction(X=>4.58513100000000E-7),37,0.006841712432051106,50
1,2.1867723,0.0,1.4809851e-7,1.48098510000000e-7,PySRFunction(X=>1.48098510000000E-7),15,0.5490287081615713,36
1,2.1867723,0.0,4.4662256e-6,4.46622560000000e-6,PySRFunction(X=>0.00000446622560000000),33,0.6719795250240269,102
1,2.1867723,0.0,-1.1849547e-6,-1.18495470000000e-6,PySRFunction(X=>-0.00000118495470000000),53,0.6760878750215195,102
1,2.1867723,0.0,5.639595e-7,5.63959500000000e-7,PySRFunction(X=>5.63959500000000E-7),1,0.68273857185547,33
